# Forces     
# CofR       : (4.974613e-01 -1.671896e-02 1.250000e-01)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
730          	((5.605953e+00 2.446444e+02 2.796401e-18) (1.599573e+00 -1.865054e-02 8.212034e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464150e-15 -6.238236e-18 -3.296702e+01) (6.113304e-20 -9.839687e-18 -9.631182e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
740          	((5.605660e+00 2.446510e+02 2.795946e-18) (1.599576e+00 -1.865123e-02 8.212622e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464188e-15 -6.235459e-18 -3.296805e+01) (6.113844e-20 -9.839653e-18 -9.631441e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
750          	((5.605402e+00 2.446568e+02 2.795544e-18) (1.599579e+00 -1.865183e-02 8.213140e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464222e-15 -6.233008e-18 -3.296896e+01) (6.114319e-20 -9.839623e-18 -9.631670e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
760          	((5.605174e+00 2.446619e+02 2.795190e-18) (1.599582e+00 -1.865238e-02 8.213597e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464251e-15 -6.230846e-18 -3.296976e+01) (6.114735e-20 -9.839597e-18 -9.631873e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
770          	((5.604973e+00 2.446664e+02 2.794877e-18) (1.599584e+00 -1.865287e-02 8.214001e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464277e-15 -6.228938e-18 -3.297047e+01) (6.115099e-20 -9.839574e-18 -9.632052e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
780          	((5.604796e+00 2.446704e+02 2.794602e-18) (1.599587e+00 -1.865331e-02 8.214357e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464300e-15 -6.227256e-18 -3.297109e+01) (6.115418e-20 -9.839553e-18 -9.632210e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
790          	((5.604639e+00 2.446740e+02 2.794358e-18) (1.599588e+00 -1.865371e-02 8.214672e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464320e-15 -6.225771e-18 -3.297164e+01) (6.115700e-20 -9.839535e-18 -9.632350e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
800          	((5.604502e+00 2.446771e+02 2.794144e-18) (1.599590e+00 -1.865405e-02 8.214950e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464338e-15 -6.224462e-18 -3.297213e+01) (6.115949e-20 -9.839519e-18 -9.632473e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
810          	((5.604380e+00 2.446798e+02 2.793954e-18) (1.599592e+00 -1.865436e-02 8.215195e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464354e-15 -6.223307e-18 -3.297256e+01) (6.116170e-20 -9.839505e-18 -9.632582e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
820          	((5.604273e+00 2.446823e+02 2.793787e-18) (1.599593e+00 -1.865463e-02 8.215412e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464368e-15 -6.222286e-18 -3.297294e+01) (6.116364e-20 -9.839492e-18 -9.632678e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
830          	((5.604178e+00 2.446844e+02 2.793639e-18) (1.599594e+00 -1.865487e-02 8.215603e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464380e-15 -6.221385e-18 -3.297327e+01) (6.116534e-20 -9.839481e-18 -9.632764e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
840          	((5.604095e+00 2.446863e+02 2.793508e-18) (1.599595e+00 -1.865509e-02 8.215772e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464391e-15 -6.220590e-18 -3.297357e+01) (6.116683e-20 -9.839472e-18 -9.632839e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
850          	((5.604021e+00 2.446880e+02 2.793393e-18) (1.599596e+00 -1.865528e-02 8.215921e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464401e-15 -6.219887e-18 -3.297383e+01) (6.116815e-20 -9.839463e-18 -9.632906e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
